title,authors,published_date,categories,description,rating
Girl with a Pearl Earring,,,,,3.88
The Golden Tulip,,,,,3.94
Burning Bright,,,,,3.36
Falling Angels,,,,,3.58
The Virgin Blue,,,,,3.66
Wenn Engel fallen,,,,,3.58
Tom Hunter: Living in Hell and Other Stories,,,,,3.64
Bleach  Volume 15,,,,,4.42
Bleach  Volume 01,,,,,4.22
Bleach  Volume 14,,,,,4.38
Bleach  Volume 11,,,,,4.36
Bleach  Volume 12,,,,,4.36
DEATH NOTE デスノート 1,,,,,4.43
Death Note  Vol. 4: 恋心 (Death Note  #4),,,,,4.39
Death Note  Vol. 3: 激走 (Death Note  #3),,,,,4.43
Love Artist (Harlequin Romance #2860),,,,,3.25
Perfume: The Story of a Murderer,,,,,4.02
Das Parfum. Die Geschichte eines Mörders,,,,,4.02
Three Stories and a Reflection,,,,,3.57
The Pigeon,,,,,3.68
The Story of Mr Sommer,,,,,3.84
Bleach―ブリーチ― 1 [Burīchi 1] (Bleach  #1),,,,,4.22
Bleach  Tome 1: The Death and the Strawberry,,,,,4.22
Escape from Fire Mountain (World of Adventure  #3),,,,,3.67
How Angel Peterson Got His Name,,,,,3.93
Tucket's Travels: Francis Tucket's Adventures In The West  1847-1849 (The Tucket Adventures  #1-5),,,,,4.44
Chicago Blues: The City and the Music,,,,,3.92
Winterdance: The Fine Madness of Running the Iditarod,,,,,4.26
Brian's Winter,,,,,4.01
Robinson Crusoe (Robinson Crusoe #1),,,,,3.67
Robinson Crusoe,,,,,3.67
Robinson Crusoe,,,,,3.67
Robinson Crusoe,,,,,3.67
Robinson Crusoe,,,,,3.67
A General History of the Pyrates,,,,,3.72
Huck Finn & Tom Sawyer among the Indians & Other Unfinished Stories (Mark Twain Library),,,,,3.85
Huck Finn and Tom Sawyer Among the Indians,,,,,3.57
Huck Finn/Pudd'nhead Wilson/No 44 Mysterious Stranger other Writings,,,,,4.06
The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),,,,,3.82
Adventures of Huckleberry Finn,,,,,3.82
Adventures of Huckleberry Finn,,,,,3.82
The Annotated Huckleberry Finn,,,,,3.82
The Wit and Wisdom of Mark Twain,,,,,4.2
Mark Twain's Helpful Hints for Good Living: A Handbook for the Damned Human Race,,,,,3.86
The Complete Short Stories of Mark Twain,,,,,4.28
The Autobiography of Mark Twain,,,,,4.05
Collected Tales  Sketches  Speeches  & Essays 1891–1910,,,,,4.39
Lost Horizon,,,,,3.92
Louisa May Alcott's Christmas Treasury,,,,,3.96
My Secret Garden: Women's Sexual Fantasies,,,,,3.68
The Secret Garden,,,,,4.13
The Secret Garden,,,,,4.13
The Secret Garden,,,,,4.33
The Secret Garden,,,,,4.13
A Little Princess,,,,,4.2
Waiting for the Party: The Life of Frances Hodgson Burnett  1849-1924,,,,,3.8
The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden,,,,,4.3
Basic Economics: A Citizen's Guide to the Economy,,,,,4.32
Basic Economics: A Common Sense Guide to the Economy,,,,,4.32
Black Rednecks and White Liberals,,,,,4.38
Applied Economics: Thinking Beyond Stage One,,,,,4.14
Knowledge And Decisions,,,,,4.39
A Conflict of Visions: Ideological Origins of Political Struggles,,,,,4.31
Sir Gawain and the Green Knight,,,,,3.91
Alcoholics Anonymous,,,,,4.45
Alcoholics Anonymous,,,,,4.45
The Twelve Steps & Twelve Traditions of Overeaters Anonymous,,,,,4.36
The Natural Way to Draw,,,,,3.9
Natural Health  Natural Medicine,,,,,4.11
The Fixer,,,,,3.96
The Complete Stories,,,,,4.22
The Assistant,,,,,3.89
Conversations with Bernard Malamud (Literary Conversations),,,,,4.0
The Tenants,,,,,3.65
Enchanted April: Acting Edition,,,,,3.61
April  May und June,,,,,3.88
A Room with a View,,,,,3.91
A Room with a View / Howards End,,,,,4.1
E.M. Forster: Critical Guidebook,,,,,3.51
The Longest Journey,,,,,3.48
Howards End,,,,,3.96
Maurice,,,,,4.03
E. M. Forster: A Life,,,,,4.14
Howards End,,,,,3.96
The Sixteen Pleasures,,,,,3.59
Revolutionary Characters: What Made the Founders Different,,,,,3.97
The Rescue (Kidnapped  #3),,,,,4.11
Hunting the Hunter (On the Run  #6),,,,,4.21
Public Enemies (On The Run  #5),,,,,4.19
Runaway Bride,,,,,4.25
The Bridge over the Drina,,,,,4.33
Drina Dances in Paris,,,,,4.16
Drina Ballerina,,,,,4.16
Le Pont sur la Drina,,,,,4.33
Drina Dances in Italy,,,,,4.08
Drina Goes on Tour,,,,,4.26
Drina Dances in Madeira,,,,,4.09
Phaedrus/Apology/Crito/Symposium,,,,,3.0
The Dialogues of Plato  Volume 1: Euthyphro  Apology  Crito  Meno  Gorgias  Menexenus,,,,,4.17
Gorgias/Timaeus,,,,,3.74
Minor Works: On Colours/On Things Heard/Physiognomics/On Plants/On Marvellous Things Heard/Mechanical Problems/On Indivisible Lines/The...Gorgias,,,,,4.57
Aristophanes I: Clouds/Wasps/Birds,,,,,3.77
The Trojan Women,,,,,3.89
Greek Tragedies  Volume 2,,,,,4.29
Moloka'i (Moloka'i #1),,,,,4.17
Teaching with the Brain in Mind,,,,,4.11
Introducing Mind and Brain (Introducing...),,,,,3.54
Eva Luna,,,,,3.97
The Stories of Eva Luna,,,,,3.97
Diez Cuentos de Eva Luna Con Guia de Comprension y Repaso de Gramatica,,,,,3.97
El bosque de los pigmeos,,,,,3.77
Inés of My Soul,,,,,3.93
La casa de los espíritus,,,,,4.23
El plan infinito,,,,,3.72
El reino del dragón de oro,,,,,3.84
City of the Beasts (Eagle and Jaguar  #1),,,,,3.71
Self,,,,,3.43
Die Brücke über die Drina,,,,,4.33
Drina Dances in Switzerland,,,,,4.02
The Story of Salt,,,,,4.08
Nonviolence: Twenty-Five Lessons from the History of a Dangerous Idea,,,,,4.0
Boogaloo on 2nd Avenue,,,,,3.17
Cod: A Biography of the Fish That Changed the World,,,,,3.91
1968: The Year That Rocked the World,,,,,3.78
A Chosen Few: The Resurrection of European Jewry (Reader's Circle),,,,,3.87
The Basque History of the World: The Story of a Nation,,,,,3.85
The Cod's Tale,,,,,3.91
Open City 6: The Only Woman He Ever Left,,,,,0.0
Harry Potter Y La Piedra Filosofal (Harry Potter  #1),,,,,4.47
Angle of Repose,,,,,4.27
Don't Make Me Think: A Common Sense Approach to Web Usability,,,,,4.25
Girlfriend in a Coma,,,,,3.62
Corelli's Mandolin,,,,,3.98
Kiffe Kiffe Tomorrow,,,,,3.4
Our Kind of People: Inside America's Black Upper Class,,,,,3.72
The Senator and the Socialite: The True Story of America's First Black Dynasty,,,,,3.95
Temptations,,,,,4.19
The Thorn Birds,,,,,4.23
Caesar (Masters of Rome  #5),,,,,4.37
Caesar's Women (Masters of Rome  #4),,,,,4.25
On  Off (Carmine Delmonico  #1),,,,,3.52
Three Complete Novels: Tim/An Indecent Obsession/The Ladies of Missalonghi,,,,,3.67
Morgan's Run,,,,,3.95
The October Horse: A Novel of Caesar and Cleopatra (Masters of Rome  #6),,,,,4.29
The First Man in Rome (Masters of Rome  #1),,,,,4.11
The Grass Crown (Masters of Rome  #2),,,,,4.3
Tim,,,,,3.81
O'Brien's the Things They Carried,,,,,3.69
The Five People You Meet in Heaven,,,,,3.93
The Curious Incident of the Dog in the Night-Time,,,,,3.88
The Curious Incident of the Dog In the Night-time,,,,,3.88
The Curious Incident of the Dog in the Night-time,,,,,3.88
Northern Lights,,,,,3.29
If I Die in a Combat Zone  Box Me Up and Ship Me Home,,,,,3.95
Going After Cacciato,,,,,3.91
In the Lake of the Woods,,,,,3.78
The Nuclear Age,,,,,3.45
The Rescue,,,,,4.11
A Bend in the Road,,,,,4.03
True Believer (Jeremy Marsh & Lexie Darnell  #1),,,,,3.8
Three Weeks With My Brother,,,,,4.03
The Wedding (The Notebook  #2),,,,,3.99
El Guardián,,,,,4.15
Nights in Rodanthe,,,,,3.84
Message in a Bottle,,,,,3.96
A Walk to Remember,,,,,4.17
Icy Sparks,,,,,3.7
Message in a Bottle,,,,,3.96
Sugarplums and Scandal  (Love at Stake #2.5; Bed-and-Breakfast Mysteries #22.5),,,,,3.98
Special Topics in Calamity Physics,,,,,3.71
The Dictionary of Corporate Bullshit: An A to Z Lexicon of Empty  Enraging  and Just Plain Stupid Office Talk,,,,,4.03
On Truth,,,,,3.52
Twelve Sharp (Stephanie Plum  #12),,,,,4.15
Sharp Edges,,,,,3.86
Mrs. Sharp's Traditions: Reviving Victorian Family Celebrations of Comfort & Joy,,,,,4.08
The Sly Spy (Olivia Sharp  Agent for Secrets #3),,,,,3.85
The Green Toenails Gang (Olivia Sharp  Agent for Secrets #4),,,,,3.77
The Pizza Monster (Olivia Sharp  Agent for Secrets #1),,,,,3.54
The Spy Who Barked (Adam Sharp #1),,,,,3.43
Kare First Love  Vol. 9 (Kare First Love  #9),,,,,4.06
The World's First Love: Mary  Mother of God,,,,,4.59
Kare First Love  Vol. 10 (Kare First Love  #10),,,,,4.09
The Tutor's First Love,,,,,4.08
First Love,,,,,3.78
Love @ First Site,,,,,3.41
First Love  Second Chance,,,,,3.73
The Modern Prince: Charles J. Haughey and the Quest for Power,,,,,3.5
The Modern Prince and Other Writings,,,,,3.89
Emily of New Moon (Emily  #1),,,,,4.1
The Selected Journals Of L.M. Montgomery  Vol. 5: 1935-1942,,,,,4.24
Against the Odds: Tales of Achievement,,,,,3.83
Anne of Avonlea,,,,,4.23
A Tangled Web,,,,,3.88
The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),,,,,4.43
Pat of Silver Bush (Pat  #1),,,,,3.9
Sherlock Holmes: The Complete Novels and Stories  Volume I,,,,,4.47
The New Annotated Sherlock Holmes: The Complete Short Stories,,,,,4.64
The New Annotated Sherlock Holmes: The Novels,,,,,4.53
The Science of Sherlock Holmes: From Baskerville Hall to the Valley of Fear  the Real Forensics Behind the Great Detective's Greatest Cases,,,,,4.22
Sherlock Holmes: A Baker Street Dozen,,,,,3.96
Sherlock Holmes: The Unauthorized Biography,,,,,4.26
Murder by Moonlight & Other Mysteries (New Adventures of Sherlock Holmes 19-24),,,,,4.0
The Mysteries of Sherlock Holmes,,,,,4.18
The Complete Adventures and Memoirs of Sherlock Holmes,,,,,4.33
The Unfortunate Tobacconist & Other Mysteries (Sherlock Holmes 1-6),,,,,3.5
Personal Finance For Dummies,,,,,3.77
Personal Finance for Dummies,,,,,3.77
Catching Alice,,,,,3.38
The Dream Giver,,,,,4.26
The Giver (The Giver  #1),,,,,4.13
The Wish Giver: Three Tales of Coven Tree,,,,,3.83
Indian Givers: How the Indians of the Americas Transformed the World,,,,,4.11
The Last Life,,,,,3.56
The Hunters,,,,,3.42
When the World Was Steady,,,,,3.17
The Sea,,,,,3.51
The Sea,,,,,3.51
The Book of Evidence (The Freddie Montgomery Trilogy #1),,,,,3.71
Athena (The Freddie Montgomery Trilogy #3),,,,,3.66
Doctor Copernicus  (The Revolutions Trilogy #1),,,,,3.65
Shroud (The Cleave Trilogy #2),,,,,3.66
Ghosts,,,,,3.61
On Beauty,,,,,3.73
A Great and Terrible Beauty (Gemma Doyle #1),,,,,3.79
The Black Book of Hollywood Beauty Secrets,,,,,3.37
Black Beauty,,,,,3.96
Truth and Beauty,,,,,3.94
The Life of Graham Greene  Vol. 1: 1904-1939,,,,,4.11
Complete Short Stories,,,,,4.17
The Power and the Glory,,,,,4.0
The Heart of the Matter,,,,,3.99
Orient Express,,,,,3.46
Journey Without Maps,,,,,3.6
The Quiet American,,,,,3.97
Collected Short Stories,,,,,3.98
The Third Man & The Fallen Idol,,,,,3.77
The Tenth Man,,,,,3.73
The Autograph Man,,,,,3.16
White Teeth,,,,,3.77
Stranger than Fiction,,,,,3.57
Great Short Works of Herman Melville,,,,,4.04
Selected Poems of Herman Melville,,,,,3.77
Redburn / White-Jacket / Moby-Dick,,,,,4.2
Pierre / Israel Potter / The Piazza Tales / The Confidence-Man / Uncollected Prose / Billy Budd,,,,,4.18
Redburn,,,,,3.62
Typee / Omoo / Mardi,,,,,3.55
Harriet Spies Again (Harriet the Spy Adventures  #1),,,,,3.84
Harriet the Spy  Double Agent (Harriet the Spy Adventures),,,,,3.8
Moonraker (James Bond  #3),,,,,3.74
Moonraker's Bride,,,,,4.31
Dr No / Moonraker / Thunderball / From Russia with Love / On Her Majesty's Secret Service / Goldfinger,,,,,3.98
Casino Royale (James Bond  #1),,,,,3.73
Goldfinger (James Bond  #7),,,,,3.8
On Her Majesty's Secret Service (James Bond  #11),,,,,3.96
Octopussy & the Living Daylights (James Bond  #14),,,,,3.55
Book of Sketches,,,,,3.8
The Dharma Bums,,,,,3.92
Book of Haikus,,,,,3.91
The Subterraneans,,,,,3.68
Ballet Shoes,,,,,4.07
Theater Shoes (Shoes  #4),,,,,4.02
Movie Shoes (Shoes  #6),,,,,4.0
Party Shoes (Shoes  #5),,,,,3.64
Thursday's Child (Margaret Thursday  #1),,,,,3.98
Miss Happiness and Miss Flower,,,,,4.27
The River,,,,,3.95
The Dolls' House,,,,,4.01
China Court: The Hours of a Country House,,,,,3.97
Rumer Godden,,,,,3.82
The Corrections,,,,,3.79
Creative Correction: Extraordinary Ideas For Everyday Discipline,,,,,3.93
Original Sin (Adam Dalgliesh #9),,,,,3.91
Original Sin: Illuminating the Riddle,,,,,3.68
An Original Sin,,,,,3.75
Aliens: Original Sin,,,,,3.71
Death in Holy Orders (Adam Dalgliesh  #11),,,,,3.92
The Lighthouse (Adam Dalgliesh #13),,,,,3.81
Unnatural Causes (Adam Dalgliesh #3),,,,,3.94
Death of an Expert Witness (Adam Dalgliesh #6),,,,,3.99
A Mind To Murder (Adam Dalgliesh  #2),,,,,3.82
A Taste for Death (Adam Dalgliesh  #7),,,,,4.02
Time To Be In Earnest: A Fragment Of Autobiography,,,,,3.93
Cover Her Face (Adam Dalgliesh #1),,,,,3.93
The Black Tower (Adam Dalgliesh #5),,,,,4.0
Innocent Blood,,,,,3.68
Don Quixote,,,,,3.87
Don Quixote,,,,,3.87
Don Quixote,,,,,3.87
Don Quixote,,,,,3.87
Lectures on Don Quixote,,,,,3.87
Cliffs Notes on Cervantes' Don Quixote,,,,,3.61
Desert Heat (Joanna Brady  #1),,,,,4.0
Kentucky Heat,,,,,4.19
Heat Wave: A Social Autopsy of Disaster in Chicago,,,,,3.86
Texas Heat (Texas  #2),,,,,4.18
Primal Heat (Includes: Breeds  #8.5; Devlin Dynasty  #1; Moon Lust  #1),,,,,4.13
Heat and Dust,,,,,3.55
Holy Cow: An Indian Adventure,,,,,3.53
Holy Cows and Hog Heaven: The Food Buyer's Guide to Farm Friendly Food,,,,,4.01
The History of Love,,,,,3.92
A Brief History of Time,,,,,4.17
A Short History of Nearly Everything,,,,,4.21
The Politically Incorrect Guide to American History,,,,,4.03
A History of the World in 6 Glasses,,,,,3.76
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,,,,,3.87
The Sun Also Rises,,,,,3.82
The Bon Appetit Cookbook,,,,,4.07
The Barefoot Contessa Cookbook,,,,,4.15
Into a Paris Quartier: Reine Margot's Chapel and Other Haunts of St. Germain,,,,,3.51
Sylvia,,,,,3.86
The Life Of Dashiell Hammett,,,,,3.73
Divorcio a la Francesa: Le Divorce,,,,,2.88
London is the Best City in America,,,,,3.45
Hyperion (Los Cantos de Hyperion  #1),,,,,4.24
The Fall of Hyperion (Hyperion Cantos  #2),,,,,4.2
Supreme Power: Hyperion,,,,,3.45
Die Hyperion-Gesänge,,,,,4.42
La Chute d'Hypérion II,,,,,4.2
Endymion,,,,,4.17
Olympos (Ilium  #2),,,,,3.94
Ilium (Ilium  #1),,,,,4.03
The Terror,,,,,4.07
Worlds Enough & Time: Five Tales of Speculative Fiction,,,,,3.75
Hard Freeze (Joe Kurtz  #2),,,,,3.84
Endymion (Hyperion Cantos  #3),,,,,4.17
A Winter Haunting (Seasons of Horror  #2),,,,,3.6
The Amazing Adventures of Kavalier & Clay,,,,,4.18
The Amazing Adventures of the Escapist: Volume 1,,,,,3.46
The Great House of God,,,,,4.25
The Valkyries,,,,,3.31
The Devil and Miss Prym (On the Seventh Day  #3),,,,,3.61
Nine Stories,,,,,4.19
The Sun Rises: and Other Questions About Time and Seasons,,,,,3.94
American Psycho,,,,,3.82
Lunar Park,,,,,3.7
The Burden of Proof (Kindle County Legal Thriller #2),,,,,4.06
Godless,,,,,3.6
That Godless Court?: Supreme Court Decisions on Church-State Relationships,,,,,3.59
Soul Mates: Honouring the Mysteries of Love and Relationship,,,,,3.99
Soul Mates & Twin Flames: The Spiritual Dimension of Love & Relationships (Pocket Guide to Practical Spirituality),,,,,3.79
Hot Chocolate for the Mystical Lover: 101 True Stories of Soul Mates Brought Together by Divine Intervention,,,,,4.08
Man's Search for Meaning,,,,,4.36
Man's Search for Meaning,,,,,4.36
In Search of Memory: The Emergence of a New Science of Mind,,,,,4.1
Search Engine Optimization for Dummies,,,,,3.79
The Pragmatic Programmer: From Journeyman to Master,,,,,4.31
Behind Closed Doors: Secrets of Great Management,,,,,3.96
Blink: The Power of Thinking Without Thinking,,,,,3.93
Blink 182,,,,,4.42
I Blink: And Other Questions About My Body,,,,,3.92
The Great Good Thing (The Sylvie Cycle  #1),,,,,3.9
The Great Good Place: Cafes  Coffee Shops  Bookstores  Bars  Hair Salons  and Other Hangouts at the Heart of a Community,,,,,3.83
Built to Last: Successful Habits of Visionary Companies,,,,,3.99
I Like You: Hospitality Under the Influence,,,,,3.88
Children Playing Before a Statue of Hercules,,,,,3.68
Bringing Down The House,,,,,3.89
Read for Your Life: 11 Ways to Better Yourself Through Books,,,,,3.7
The Hip-Hop Church: Connecting with the Movement Shaping Our Culture,,,,,3.91
The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark,,,,,4.16
The Cold Six Thousand (Underworld USA #2),,,,,4.01
White Teeth,,,,,3.77
White Teeth,,,,,3.77
White Teeth,,,,,3.77
Schiffbruch mit Zuschauer. Paradigma einer Daseinsmetapher,,,,,3.93
The Guide to Dan Brown's the Solomon Key,,,,,2.98
The Da Vinci Code (Robert Langdon  #2),,,,,3.84
Angels & Demons (Robert Langdon  #1),,,,,3.89
The Illuminati,,,,,3.71
The Illuminati Papers,,,,,3.83
The Da Vinci Code,,,,,3.84
The Da Vinci Code (Robert Langdon  #2),,,,,3.84
El código Da Vinci (Robert Langdon  #2),,,,,3.84
Truth and Fiction in The Da Vinci Code: A Historian Reveals What We Really Know about Jesus  Mary Magdalene & Constantine,,,,,3.64
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),,,,,4.56
Housekeeping vs. the Dirt,,,,,3.88
The Polysyllabic Spree,,,,,3.73
Songbook,,,,,3.56
My Favorite Year: A Collection of Football Writing,,,,,3.68
Fever Pitch,,,,,3.74
High Fidelity,,,,,3.94
About a Boy,,,,,3.8
The Complete Polysyllabic Spree,,,,,3.59
Medicus (Gaius Petreius Ruso  #1),,,,,3.73
Middlesex Borough (Images of America: New Jersey),,,,,5.0
David Foster Wallace's Infinite Jest: A Reader's Guide,,,,,3.82
Scar Tissue,,,,,4.11
Monsieur Ibrahim et les fleurs du Coran,,,,,3.82
Zaat,,,,,3.55
Dreamland,,,,,3.91
End Game (Dreamland  #8),,,,,4.02
H. P. Lovecraft's Dreamlands (Call of Cthulhu RPG),,,,,3.97
Dreamland (Dreamland  #1),,,,,3.9
Satan's Tail (Dreamland  #7),,,,,4.0
The Zanzibar Chest,,,,,4.01
Dispatches from the Edge: A Memoir of War  Disasters  and Survival,,,,,3.96
Dispatches,,,,,4.23
Dispatch,,,,,3.62
Dispatches from the Tenth Circle: The Best of the Onion,,,,,4.21
Hello! Is That Grandma?,,,,,3.53
How Much is That Guinea Pig in the Window?,,,,,4.0
My War Gone By  I Miss It So,,,,,4.29
Night Draws Near: Iraq's People in the Shadow of America's War,,,,,4.12
Maximum City: Bombay Lost and Found,,,,,3.93
Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam,,,,,3.96
When Broken Glass Floats: Growing Up Under the Khmer Rouge,,,,,4.14
First They Killed My Father: A Daughter of Cambodia Remembers,,,,,4.35
Fahrenheit 451,,,,,3.99
Los funerales de la Mamá Grande,,,,,3.78
Collected Novellas,,,,,4.0
The Grapes of Wrath,,,,,3.96
CliffsNotes on Steinbeck's The Grapes of Wrath,,,,,3.81
The Grapes of Wrath,,,,,3.96
American Gods,,,,,4.11
American Gospel: God  the Founding Fathers  and the Making of a Nation,,,,,3.8
American Gods (American Gods  #1),,,,,4.11
East of Eden,,,,,4.37
Eden in the East: The Drowned Continent of Southeast Asia,,,,,3.98
East Of Eden,,,,,4.37
Who Was John F. Kennedy?,,,,,4.18
The Radical Right & the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President,,,,,3.22
An Unfinished Life: John F. Kennedy  1917-1963,,,,,4.07
Sellevision,,,,,3.56
Dry,,,,,4.03
Running with Scissors,,,,,3.72
People of the Lie: The Hope for Healing Human Evil,,,,,3.98
The Road Less Traveled: A New Psychology of Love  Traditional Values  and Spiritual Growth,,,,,4.05
The Adventures of Sherlock Holmes,,,,,4.36
A Prayer for Owen Meany,,,,,4.23
Complications: A Surgeon's Notes on an Imperfect Science,,,,,4.26
Sad Underwear and Other Complications: More Poems for Children and Their Parents,,,,,3.91
Bridget Jones: The Edge Of Reason (Bridget Jones #2),,,,,3.57
Bridget Jones's Guide to Life,,,,,3.49
Las luces de septiembre (Niebla  #3),,,,,3.77
A Framework for Understanding Poverty,,,,,3.9
El príncipe de la niebla (Trilogía de la Niebla  #1),,,,,3.7
The Shadow of the Wind,,,,,4.26
Ruby for Rails: Ruby Techniques for Rails Developers,,,,,3.77
About the B'nai Bagels,,,,,3.57
The Far Side of Evil,,,,,3.98
Enchantress from the Stars,,,,,3.95
Everything Is Illuminated,,,,,3.9
Everything Is Illuminated,,,,,3.9
Extremely Loud and Incredibly Close,,,,,3.98
Genome: the Autobiography of a Species in 23 Chapters,,,,,4.04
Bioinformatics: Sequence and Genome Analysis,,,,,3.86
The Genome War: How Craig Venter Tried to Capture the Code of Life and Save the World,,,,,3.83
Carter Beats the Devil,,,,,4.09
Moo  Baa  La La La!,,,,,4.2
Click  Clack  Moo: Cows That Type,,,,,4.24
Dooby Dooby Moo,,,,,4.1
Moo,,,,,3.46
Sailor Moo: Cow at Sea,,,,,4.07
CliffsNotes on Heller's Catch-22,,,,,3.55
Catch-22,,,,,3.98
Geisha,,,,,4.0
Does Anything Eat Wasps?: And 101 Other Unsettling  Witty Answers to Questions You Never Thought You Wanted to Ask,,,,,3.52
Chronik eines angekündigten Todes,,,,,3.97
The Complete Short Stories of Ernest Hemingway,,,,,4.29
Hemingway & Bailey's Bartending Guide to Great American Writers,,,,,3.9
For Whom The Bell Tolls,,,,,3.97
A Moveable Feast,,,,,4.04
Islands in the Stream,,,,,3.88
Berlin Blues,,,,,3.87
The Short Stories,,,,,4.26
Hemingway's Cats: An Illustrated Biography,,,,,3.82
The Ernest Hemingway Audio Collection,,,,,4.3
Until I Find You,,,,,3.63
The Imaginary Girlfriend,,,,,3.42
The Fourth Hand,,,,,3.31
The Water-Method Man,,,,,3.35
Setting Free the Bears,,,,,3.3
The 158-Pound Marriage,,,,,3.24
The Short Stories,,,,,4.23
A Life in Letters,,,,,4.22
On Authorship,,,,,3.75
The St. Paul Stories of F. Scott Fitzgerald,,,,,4.0
Tender is the Night,,,,,3.82
The Great Gatsby,,,,,3.88
The Great Gatsby,,,,,3.91
The Great Gatsby,,,,,3.91
Cliffs Notes on Fitzgerald's the Great Gatsby,,,,,3.7
The Great Gatsby,,,,,3.91
Limitations (Kindle County Legal Thriller #7),,,,,3.33
Reversible Errors (Kindle County Legal Thriller #6),,,,,3.83
The Laws Of Our Fathers (Kindle County Legal Thriller #4),,,,,3.75
Personal Injuries (Kindle County Legal Thriller #5),,,,,3.86
One L: The Turbulent True Story of a First Year at Harvard Law School,,,,,3.67
Ultimate Punishment,,,,,3.81
The Physician (Cole Family Trilogy  #1),,,,,4.37
Matters of Choice (Cole Family Trilogy  #3),,,,,3.39
The Rabbi,,,,,3.69
The Last Jew,,,,,4.1
The Frequencies,,,,,4.32
Chamán (Familia Cole  #2),,,,,4.12
The Talking Horse and the Sad Girl and the Village Under the Sea: Poems,,,,,3.31
Ocean Star Express,,,,,3.57
The Damned and the Beautiful: American Youth in the 1920's,,,,,3.76
This Side of Paradise (Paradise  #1),,,,,3.73
Trimalchio,,,,,4.42
Souvenir of Canada 2,,,,,3.83
Souvenir of Canada,,,,,3.85
The Illustrated Art of War,,,,,3.97
World War 3 Illustrated: Confrontational Comics,,,,,3.85
Master Index: An Illustrated Guide,,,,,3.56
A New Hope: The Illustrated Screenplay (Star Wars  Episode IV),,,,,4.23
Soul of the Sword: An Illustrated History of Weaponry and Warfare from Prehistory to the Present,,,,,3.75
Star Wars Episode 1: The Phantom Menace Illustrated Screenplay,,,,,3.92
Warfare in the Classical World: An Illustrated Encyclopedia of Weapons  Warriors  and Warfare in the Ancient Civilizations of Greece and Rome,,,,,4.14
The Winter of Our Discontent,,,,,3.99
Cannery Row,,,,,4.04
The Grapes of Wrath and Other Writings 1936–1941: The Long Valley / The Grapes of Wrath / The Log from the Sea of Cortez / The Harvest Gypsies,,,,,4.41
Tortilla Flat,,,,,3.83
The Log from the Sea of Cortez,,,,,3.84
The Illustrated Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,,,,,3.97
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,,,,,3.97
Latitude and Longitude (Rookie Read-About Geography),,,,,3.53
The Quest for Longitude: The Proceedings of the Longitude Symposium  Harvard University  Cambridge  Massachusetts  November 4-6  1993,,,,,4.5
1421: The Year China Discovered America,,,,,3.6
Dr. Desirable,,,,,3.27
Mayflower: A Story of Courage  Community  and War,,,,,3.87
Before the Mayflower: A History of Black America,,,,,4.44
Before The Mayflower A History of Black America,,,,,4.44
Shalimar the Clown,,,,,3.88
Midnight's Children,,,,,3.98
Haroun and the Sea of Stories (Khalifa Brothers  #1),,,,,4.01
Fury,,,,,3.29
Code Complete,,,,,4.29
Dale Carnegie's Lifetime Plan for Success: How to Win Friends and Influence People & How to Stop Worrying and Start Living,,,,,4.17
How to Stop Worrying and Start Living,,,,,4.12
How To Enjoy Your Life And Your Job,,,,,3.96
The Leader In You: How to Win Friends  Influence People and Succeed in a Changing World,,,,,4.08
The Drama of the Gifted Child: The Search for the True Self,,,,,4.09
The Drama of the Gifted Child: The Search for the True Self,,,,,4.09
Who Moved My Cheese?,,,,,3.8
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,,,,,3.91
Heart of Darkness,,,,,3.42
Heart of Darkness and Other Tales,,,,,3.58
Heart of Darkness,,,,,3.42
Teacher Man (Frank McCourt  #3),,,,,3.75
Angela's Ashes,,,,,4.11
Three Men in a Boat (Three Men  #1),,,,,3.89
Three Men in a Boat: To Say Nothing of the Dog,,,,,3.89
Three Men in a Boat: To Say Nothing of the Dog,,,,,3.89
Three Men in a Boat,,,,,3.89
Three Men in a Boat and Three Men on the Bummel,,,,,4.08
Kafka on the Shore,,,,,4.14
The Brothers Karamazov,,,,,4.32
The Brothers Karamazov,,,,,4.32
The Brothers Karamazov,,,,,4.32
The Brothers Karamazov,,,,,4.32
The Brothers Karamazov,,,,,4.32
The Brothers Karamazov,,,,,4.32
CliffsNotes on Dostoevsky's The Brothers Karamazov,,,,,3.5
Hungry Planet,,,,,4.44
The Very Hungry Caterpillar,,,,,4.29
The Little Mouse  the Red Ripe Strawberry and the Big Hungry Bear,,,,,4.32
One Hundred Hungry Ants,,,,,4.05
The Hungry Tide,,,,,3.95
Feeding the Hungry Heart: The Experience of Compulsive Eating,,,,,3.96
