title,authors,published_date,categories,description,rating,user_id
The Tragedy of Pudd'nhead Wilson,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,46
Bridge to Terabithia,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,596
Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,5.0,299
Bread and Roses  Too,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.76,168
The Invisible Child,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.27,585
A Short History of Decay,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,620
Scholar of Decay (Ravenloft  #14),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.46,55
Girl with a Pearl Earring,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,173
The Golden Tulip,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,29
Burning Bright,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.36,10
Falling Angels,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.58,358
The Virgin Blue,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.66,398
Wenn Engel fallen,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.58,361
Tom Hunter: Living in Hell and Other Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.64,514
Bleach  Volume 15,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.42,201
Bleach  Volume 01,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.22,399
Bleach  Volume 14,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.38,425
Bleach  Volume 11,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.36,663
Bleach  Volume 12,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.36,36
DEATH NOTE デスノート 1,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.43,76
Death Note  Vol. 4: 恋心 (Death Note  #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.39,16
Death Note  Vol. 3: 激走 (Death Note  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.43,102
Love Artist (Harlequin Romance #2860),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.25,67
Perfume: The Story of a Murderer,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.02,280
Das Parfum. Die Geschichte eines Mörders,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.02,355
Three Stories and a Reflection,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.57,50
The Pigeon,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,588
The Story of Mr Sommer,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,656
Bleach―ブリーチ― 1 [Burīchi 1] (Bleach  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.22,166
Bleach  Tome 1: The Death and the Strawberry,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.22,161
Escape from Fire Mountain (World of Adventure  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.67,332
How Angel Peterson Got His Name,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,90
Tucket's Travels: Francis Tucket's Adventures In The West  1847-1849 (The Tucket Adventures  #1-5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.44,319
Chicago Blues: The City and the Music,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,575
Winterdance: The Fine Madness of Running the Iditarod,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.26,420
Brian's Winter,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.01,562
Robinson Crusoe (Robinson Crusoe #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.67,301
Robinson Crusoe,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.67,236
A General History of the Pyrates,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.72,234
Huck Finn & Tom Sawyer among the Indians & Other Unfinished Stories (Mark Twain Library),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,700
Huck Finn and Tom Sawyer Among the Indians,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.57,506
Huck Finn/Pudd'nhead Wilson/No 44 Mysterious Stranger other Writings,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.06,650
The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,103
Adventures of Huckleberry Finn,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,682
The Annotated Huckleberry Finn,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,697
The Wit and Wisdom of Mark Twain,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.2,42
Mark Twain's Helpful Hints for Good Living: A Handbook for the Damned Human Race,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,204
The Complete Short Stories of Mark Twain,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.28,113
The Autobiography of Mark Twain,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.05,596
Collected Tales  Sketches  Speeches  & Essays 1891–1910,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.39,413
Lost Horizon,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,456
Louisa May Alcott's Christmas Treasury,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,13
My Secret Garden: Women's Sexual Fantasies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,102
The Secret Garden,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,225
A Little Princess,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.2,373
Waiting for the Party: The Life of Frances Hodgson Burnett  1849-1924,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,572
The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.3,198
Basic Economics: A Citizen's Guide to the Economy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.32,31
Basic Economics: A Common Sense Guide to the Economy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.32,434
Black Rednecks and White Liberals,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.38,106
Applied Economics: Thinking Beyond Stage One,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,389
Knowledge And Decisions,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.39,421
A Conflict of Visions: Ideological Origins of Political Struggles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.31,625
Sir Gawain and the Green Knight,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,25
Alcoholics Anonymous,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.45,268
The Twelve Steps & Twelve Traditions of Overeaters Anonymous,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.36,127
The Natural Way to Draw,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.9,200
Natural Health  Natural Medicine,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,332
The Fixer,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,68
The Complete Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.22,236
The Assistant,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,558
Conversations with Bernard Malamud (Literary Conversations),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,82
The Tenants,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.65,526
Enchanted April: Acting Edition,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.61,678
April  May und June,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,371
A Room with a View,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,601
A Room with a View / Howards End,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,238
E.M. Forster: Critical Guidebook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.51,274
The Longest Journey,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.48,417
Howards End,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,453
Maurice,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,36
E. M. Forster: A Life,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,87
The Sixteen Pleasures,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.59,119
Revolutionary Characters: What Made the Founders Different,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,459
The Rescue (Kidnapped  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,563
Hunting the Hunter (On the Run  #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,288
Public Enemies (On The Run  #5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,333
Runaway Bride,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,539
The Bridge over the Drina,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.33,329
Drina Dances in Paris,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.16,667
Drina Ballerina,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.16,106
Le Pont sur la Drina,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.33,176
Drina Dances in Italy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,253
Drina Goes on Tour,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.26,663
Drina Dances in Madeira,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.09,480
Phaedrus/Apology/Crito/Symposium,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.0,480
The Dialogues of Plato  Volume 1: Euthyphro  Apology  Crito  Meno  Gorgias  Menexenus,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,329
Gorgias/Timaeus,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.74,562
Minor Works: On Colours/On Things Heard/Physiognomics/On Plants/On Marvellous Things Heard/Mechanical Problems/On Indivisible Lines/The...Gorgias,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.57,294
Aristophanes I: Clouds/Wasps/Birds,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,206
The Trojan Women,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,614
Greek Tragedies  Volume 2,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.29,700
Moloka'i (Moloka'i #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,470
Teaching with the Brain in Mind,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,424
Introducing Mind and Brain (Introducing...),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.54,274
Eva Luna,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,160
The Stories of Eva Luna,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,413
Diez Cuentos de Eva Luna Con Guia de Comprension y Repaso de Gramatica,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,336
El bosque de los pigmeos,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,620
Inés of My Soul,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,272
La casa de los espíritus,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.23,421
El plan infinito,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.72,497
El reino del dragón de oro,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,650
City of the Beasts (Eagle and Jaguar  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.71,601
Self,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.43,151
Die Brücke über die Drina,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.33,536
Drina Dances in Switzerland,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.02,489
The Story of Salt,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,394
Nonviolence: Twenty-Five Lessons from the History of a Dangerous Idea,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,388
Boogaloo on 2nd Avenue,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.17,657
Cod: A Biography of the Fish That Changed the World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,538
1968: The Year That Rocked the World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,637
A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,398
The Basque History of the World: The Story of a Nation,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,243
The Cod's Tale,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,201
Open City 6: The Only Woman He Ever Left,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,0.0,515
Harry Potter Y La Piedra Filosofal (Harry Potter  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.47,238
Angle of Repose,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.27,677
Don't Make Me Think: A Common Sense Approach to Web Usability,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,265
Girlfriend in a Coma,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,197
Corelli's Mandolin,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,484
Kiffe Kiffe Tomorrow,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.4,540
Our Kind of People: Inside America's Black Upper Class,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.72,283
The Senator and the Socialite: The True Story of America's First Black Dynasty,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,126
Temptations,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,194
The Thorn Birds,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.23,14
Caesar (Masters of Rome  #5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.37,483
Caesar's Women (Masters of Rome  #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,204
On  Off (Carmine Delmonico  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.52,608
Three Complete Novels: Tim/An Indecent Obsession/The Ladies of Missalonghi,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.67,276
Morgan's Run,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,34
The October Horse: A Novel of Caesar and Cleopatra (Masters of Rome  #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.29,525
The First Man in Rome (Masters of Rome  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,623
The Grass Crown (Masters of Rome  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.3,7
Tim,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.81,613
O'Brien's the Things They Carried,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.69,116
The Five People You Meet in Heaven,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,510
The Curious Incident of the Dog In the Night-time,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,668
The Curious Incident of the Dog in the Night-time,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,23
Northern Lights,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.29,491
If I Die in a Combat Zone  Box Me Up and Ship Me Home,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,667
Going After Cacciato,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,244
In the Lake of the Woods,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,128
The Nuclear Age,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.45,390
The Rescue,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,36
A Bend in the Road,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,396
True Believer (Jeremy Marsh & Lexie Darnell  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,624
Three Weeks With My Brother,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,75
The Wedding (The Notebook  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,111
El Guardián,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.15,657
Nights in Rodanthe,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,394
Message in a Bottle,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,76
A Walk to Remember,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,125
Icy Sparks,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.7,160
Sugarplums and Scandal  (Love at Stake #2.5; Bed-and-Breakfast Mysteries #22.5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,411
Special Topics in Calamity Physics,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.71,392
The Dictionary of Corporate Bullshit: An A to Z Lexicon of Empty  Enraging  and Just Plain Stupid Office Talk,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,180
On Truth,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.52,459
Twelve Sharp (Stephanie Plum  #12),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.15,100
Sharp Edges,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,526
Mrs. Sharp's Traditions: Reviving Victorian Family Celebrations of Comfort & Joy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,274
The Sly Spy (Olivia Sharp  Agent for Secrets #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,653
The Green Toenails Gang (Olivia Sharp  Agent for Secrets #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,518
The Pizza Monster (Olivia Sharp  Agent for Secrets #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.54,510
The Spy Who Barked (Adam Sharp #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.43,418
Kare First Love  Vol. 9 (Kare First Love  #9),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.06,36
The World's First Love: Mary  Mother of God,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.59,663
Kare First Love  Vol. 10 (Kare First Love  #10),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.09,480
The Tutor's First Love,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,319
First Love,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,108
Love @ First Site,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.41,268
First Love  Second Chance,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,627
The Modern Prince: Charles J. Haughey and the Quest for Power,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.5,99
The Modern Prince and Other Writings,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,347
Emily of New Moon (Emily  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,262
The Selected Journals Of L.M. Montgomery  Vol. 5: 1935-1942,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.24,666
Against the Odds: Tales of Achievement,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,536
Anne of Avonlea,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.23,309
A Tangled Web,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,28
The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.43,310
Pat of Silver Bush (Pat  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.9,157
Sherlock Holmes: The Complete Novels and Stories  Volume I,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.47,197
The New Annotated Sherlock Holmes: The Complete Short Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.64,523
The New Annotated Sherlock Holmes: The Novels,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.53,22
The Science of Sherlock Holmes: From Baskerville Hall to the Valley of Fear  the Real Forensics Behind the Great Detective's Greatest Cases,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.22,306
Sherlock Holmes: A Baker Street Dozen,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,390
Sherlock Holmes: The Unauthorized Biography,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.26,94
Murder by Moonlight & Other Mysteries (New Adventures of Sherlock Holmes 19-24),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,508
The Mysteries of Sherlock Holmes,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.18,64
The Complete Adventures and Memoirs of Sherlock Holmes,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.33,104
The Unfortunate Tobacconist & Other Mysteries (Sherlock Holmes 1-6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.5,526
Personal Finance For Dummies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,454
Personal Finance for Dummies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,326
Catching Alice,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.38,267
The Dream Giver,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.26,100
The Giver (The Giver  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,445
The Wish Giver: Three Tales of Coven Tree,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,664
Indian Givers: How the Indians of the Americas Transformed the World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,382
The Last Life,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.56,64
The Hunters,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.42,100
When the World Was Steady,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.17,415
The Sea,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.51,597
The Book of Evidence (The Freddie Montgomery Trilogy #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.71,129
Athena (The Freddie Montgomery Trilogy #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.66,7
Doctor Copernicus  (The Revolutions Trilogy #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.65,341
Shroud (The Cleave Trilogy #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.66,358
Ghosts,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.61,1
On Beauty,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,571
A Great and Terrible Beauty (Gemma Doyle #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,607
The Black Book of Hollywood Beauty Secrets,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.37,274
Black Beauty,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,328
Truth and Beauty,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,108
The Life of Graham Greene  Vol. 1: 1904-1939,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,394
Complete Short Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,627
The Power and the Glory,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,34
The Heart of the Matter,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,315
Orient Express,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.46,29
Journey Without Maps,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,185
The Quiet American,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,612
Collected Short Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,48
The Third Man & The Fallen Idol,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,347
The Tenth Man,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,119
The Autograph Man,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.16,277
White Teeth,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,627
Stranger than Fiction,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.57,180
Great Short Works of Herman Melville,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.04,473
Selected Poems of Herman Melville,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,306
Redburn / White-Jacket / Moby-Dick,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.2,76
Pierre / Israel Potter / The Piazza Tales / The Confidence-Man / Uncollected Prose / Billy Budd,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.18,177
Redburn,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,556
Typee / Omoo / Mardi,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.55,315
Harriet Spies Again (Harriet the Spy Adventures  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,283
Harriet the Spy  Double Agent (Harriet the Spy Adventures),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,38
Moonraker (James Bond  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.74,274
Moonraker's Bride,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.31,668
Dr No / Moonraker / Thunderball / From Russia with Love / On Her Majesty's Secret Service / Goldfinger,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,422
Casino Royale (James Bond  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,65
Goldfinger (James Bond  #7),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,496
On Her Majesty's Secret Service (James Bond  #11),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,683
Octopussy & the Living Daylights (James Bond  #14),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.55,204
Book of Sketches,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,157
The Dharma Bums,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,191
Book of Haikus,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,682
The Subterraneans,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,130
Ballet Shoes,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,420
Theater Shoes (Shoes  #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.02,361
Movie Shoes (Shoes  #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,120
Party Shoes (Shoes  #5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.64,195
Thursday's Child (Margaret Thursday  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,235
Miss Happiness and Miss Flower,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.27,413
The River,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,391
The Dolls' House,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.01,186
China Court: The Hours of a Country House,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,299
Rumer Godden,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,116
